"ID" "order" "style" "para" "spp" "time" "mtGenome" "nucOXPHOS" "cplx1" "cplx2" "cplx3" "cplx4" "cplx5" "rRNAprotein" "mtGO" "werren" "cytosolic" "controlSingle" "controlRandom" "mtGenome_rate" "nucOXPHOS_rate" "cplx1_rate" "cplx2_rate" "cplx3_rate" "cplx4_rate" "cplx5_rate" "rRNAprotein_rate" "mtGO_rate" "werren_rate" "cytosolic_rate" "controlSingle_rate" "controlRandom_rate" "mtGenome_rateControlSingle" "nucOXPHOS_rateControlSingle" "cplx1_rateControlSingle" "cplx2_rateControlSingle" "cplx3_rateControlSingle" "cplx4_rateControlSingle" "cplx5_rateControlSingle" "rRNAprotein_rateControlSingle" "mtGO_rateControlSingle" "werren_rateControlSingle" "cytosolic_rateControlSingle" "controlSingle_rateControlSingle" "controlRandom_rateControlSingle" "mtGenome_rateControlRandom" "nucOXPHOS_rateControlRandom" "cplx1_rateControlRandom" "cplx2_rateControlRandom" "cplx3_rateControlRandom" "cplx4_rateControlRandom" "cplx5_rateControlRandom" "rRNAprotein_rateControlRandom" "mtGO_rateControlRandom" "werren_rateControlRandom" "cytosolic_rateControlRandom" "controlSingle_rateControlRandom" "controlRandom_rateControlRandom" "hd"
"1" 63 "Diptera" "D" NA "AAEGY" 83.961536 0.0172847248697846 0.0538418973606654 0.0572152762856088 0.0189718140984778 0.0550512964533144 0.144067656989875 0.0654319100536255 0.0664781098739264 0.068063709824669 0.0672666421583542 0.045186503144687 0.050792033450838 0.131164705927807 0.000205864800636622 0.000641268608528855 0.000681446278991475 0.00022595839716984 0.00065567281252828 0.0017158768628277 0.000779308159079242 0.000791768624551204 0.000810653461897946 0.000801160214105114 0.000538180996887515 0.000604944071662029 0.0015621999331671 0.340303856637569 1.06004610767906 1.12646162002921 0.373519483460743 1.08385691048576 2.83642231274948 1.28823174833033 1.30882946315333 1.3400469561934 1.32435418683251 0.889637608000541 1 2.58238737487764 0.131778779569697 0.410490741238729 0.436209389415321 0.144641151476525 0.419711202521314 1.09837212663878 0.498853022928586 0.506829252607908 0.518917870041437 0.512841024439743 0.344501997126862 0.387238572232944 1 "D"
"2" 65 "Diptera" "D" NA "AALBI" 88.441279 0.0155450666803847 0.0549682347100363 0.0419182044666007 0.0232920001999143 0.102256081813015 0.0173274198493739 0.0893961192544353 0.0668105612116396 0.0668079562459459 0.052856525745954 0.0696633699845018 0.0637342686643743 0.164502987118399 0.000175767094914861 0.000621522385604988 0.000473966511345915 0.00026336118680412 0.00115620310978333 0.000195920050515935 0.00101079631892745 0.000755422829328821 0.000755393375144947 0.000597645424665941 0.000787679359369077 0.000720639382254686 0.0018600249677348 0.24390437053958 0.862459644739942 0.657702760932939 0.365454890877784 1.60441288424438 0.271869752528587 1.40263819022066 1.04826748014424 1.04822660785139 0.829326622139454 1.09302846717125 1 2.5810759355328 0.0944971696422529 0.334147334786532 0.25481728448147 0.141590135279125 0.621606231012799 0.105331946567649 0.543431586382645 0.406135854320709 0.406120018950548 0.321310431329196 0.423477841982057 0.387435327350636 1 "D"
"3" 39 "Hymenoptera" "HD" "Parasitic/wasp-waist/stinger/eusociality" "ACEPH" 9.937519 0.11171589070191 0.049788110594287 0.0280030467529879 0.0262151789535747 0.089795303653727 0.155732621739941 0.0666653294622196 0.044210771479308 0.0405479950356158 0.0232427835989003 0.00165608567367213 0.0144870766701195 0.0477868317282235 0.0112418291428585 0.00501011475744469 0.00281791126668416 0.00263800038556653 0.00903598812276253 0.0156711772566111 0.00670844800017183 0.0044488741585609 0.00408029358591574 0.00233889199093861 0.000166649812057932 0.00145781624871555 0.00480872858992506 7.71141709578517 3.43672583006191 1.93296738815126 1.80955616861234 6.19830388824651 10.7497616866451 4.60171026772579 3.05173862788312 2.79890801705002 1.60438051983531 0.11431468966323 1 3.29858347659517 2.33779655737104 1.04187929589987 0.585999233266786 0.548585834329161 1.87908049992552 3.25890242369769 1.3950564842081 0.925166408410302 0.848518170575172 0.48638469549704 0.0346556909880683 0.303160434500269 1 "HD"
"4" 40 "Hymenoptera" "HD" "Parasitic/wasp-waist/stinger/eusociality" "AECHI" 9.937519 0.156777072653946 0.0538426386829753 0.0346917804813721 0.140291292743563 0.0781918134898701 0.0219122549391394 0.045773592255238 0.0381787906889625 0.05413661167704 0.0139957063132173 0.0305613688293519 0.0105292269643548 0.027779577069295 0.0157762790344296 0.00541811680389998 0.00349099010340228 0.0141173358001693 0.00786834354629864 0.00220500257047452 0.00460613884162013 0.00384188354145159 0.00544769893542241 0.00140837026960324 0.00307535198970205 0.0010595428259664 0.00279542379433891 14.8897039815641 5.11363643933708 3.29480792833284 13.3239879070419 7.42616848839686 2.08108866997741 4.34728897099455 3.62598230793309 5.14155615225237 1.32922448728646 2.90252731115143 1 2.63833016073628 5.64360905361777 1.93820944604978 1.24882320543739 5.05015941724427 2.81472296337788 0.788790084329945 1.64774258949507 1.37434744214165 1.94879178837023 0.503812793056769 1.10013801697261 0.37902761939428 1 "HD"
"5" 47 "Hymenoptera" "HD" "Parasitic/wasp-waist/stinger/pollinator/eusociality" "AFLOR" 8.103582 0.0748605096255171 0.0279752368910199 0.0280104145294144 0.0377893460579493 0.0138002130027006 0.00787354275483018 0.0338285675646725 0.0426229017371466 0.042788808904367 0.0169964405797146 0.00813097374363646 0.010736445912562 0.0326270288744211 0.00923795299726925 0.00345220630716391 0.00345654730579815 0.0046632891550859 0.0017029769061016 0.000971612646707367 0.00417452030036501 0.00525976065117211 0.00528023396374184 0.00209739848127835 0.00100338020194483 0.00132490124892449 0.00402624775986978 6.97255965662974 2.60563291789958 2.60890938747629 3.51972583531898 1.28536138635541 0.733347219270939 3.15081618630351 3.96992655523709 3.98537926357014 1.58306023409741 0.757324519664645 1 3.03890404144321 2.29443232215993 0.85742520407526 0.858503378815899 1.15822210485048 0.42296873110379 0.241319636707799 1.03682648195997 1.30636785535081 1.31145281628486 0.520931300399205 0.249209751060446 0.329066000887968 1 "HD"
"6" 67 "Diptera" "D" NA "AFUNE" 39.856741 0.0160355981972193 0.0370410220748033 0.0267656396513621 0.0114710626842772 0.0917158864225714 0.0157281161422062 0.0459680098376568 0.0388661002070602 0.0521911822014083 0.0366121497491134 0.0387918815315557 0.031940786238856 0.0737234475140497 0.000402330892965366 0.00092935401002313 0.000671546116913124 0.000287807341906786 0.0023011386310429 0.000394616211651781 0.00115333087162487 0.000975144962481007 0.00130946938690768 0.000918593663970504 0.000973282826399572 0.000801389813553898 0.00184971088112923 0.502041436215868 1.15967784254925 0.837976856649874 0.359135263562255 2.87143483997895 0.492414808595817 1.43916337856883 1.21681726668893 1.63399804285086 1.14625073645102 1.21449363335851 1 2.30812876560831 0.217510150948426 0.502432039247002 0.363054639384048 0.155595852758936 1.24405314069303 0.213339401134338 0.623519536696877 0.527187774278371 0.707931926155001 0.496614726842991 0.526181056904088 0.433251391733532 1 "D"
"7" 66 "Diptera" "D" NA "AGAMB" 39.856741 0.00506215358969285 0.0363699689981857 0.0189484074821575 0.00927696314496007 0.0934781628535107 0.0605437932212502 0.0317855000982422 0.0354320150912403 0.0438731230595819 0.0224942554746527 0.0455904663819424 0.0226587939189248 0.105565645135588 0.000127008718291665 0.000912517383149458 0.000475412866349446 0.000232757694487868 0.00234535389768849 0.00151903521718573 0.000797493706227566 0.000888984252155496 0.00110077045836693 0.000564377691458835 0.00114385835966725 0.000568505937776619 0.00264862712020504 0.223407901047412 1.6051149557351 0.836249605780281 0.409419988466901 4.1254694838562 2.67197775123783 1.40278870146282 1.56372025881074 1.93625147113142 0.9927384288475 2.01204294213846 1 4.65892604493034 0.0479526609550962 0.344524669474357 0.179494071748629 0.0878786193467087 0.885497954693952 0.573517957887607 0.301097009897652 0.335639639635902 0.415600387827228 0.21308310526366 0.43186840115822 0.214641741542165 1 "D"
"8" 55 "Coleoptera" "D" NA "AGLAB" 104.531206 0.153945123932906 0.107992492751836 0.0986110801714307 0.149774871677878 0.0999587893905779 0.219286706601597 0.104081354516527 0.14047293959094 0.147784145792625 0.0977617796990325 0.0478580559679039 0.0919980695591364 0.183579052055769 0.00147271929430247 0.00103311247314832 0.000943364990655812 0.001432824487626 0.000956257879494645 0.00209781093123136 0.000995696486239019 0.00134383735696056 0.00141378016620821 0.000935240139667312 0.000457835107804113 0.00088010148432743 0.00175621289642223 1.6733516765148 1.1738560740388 1.07188205843867 1.62802189649863 1.08653137907774 2.38360117394245 1.1313428098578 1.52691181743378 1.60638311761128 1.06265033785509 0.520207176055371 1 1.99546634984296 0.838576745053349 0.588261522992445 0.537158673972638 0.815860360976144 0.544499975739126 1.19450832840656 0.566956596359962 0.765190461645189 0.805016390147445 0.532532326560515 0.260694536941858 0.501135987624495 1 "D"
"9" 46 "Hymenoptera" "HD" "Parasitic/wasp-waist/stinger/pollinator/eusociality" "AMELL" 8.103582 0.084572757476531 0.0502815089034081 0.0336462190437045 0.278181256955633 0.0128576802395368 0.0255976116320242 0.0251495621372126 0.0478333350290501 0.0436854232453737 0.0184514615534429 0.00278220146688561 0.0110116364484351 0.0293732374298608 0.0104364659327852 0.00620484976932523 0.00415201808826078 0.0343281843702739 0.00158666627172241 0.00315880207444365 0.00310351177259792 0.00590273968092753 0.00539087816293754 0.00227695129801153 0.000343329834496104 0.00135886037167701 0.0036247226757082 7.68030781551546 4.56621585164608 3.05551488203064 25.2624810361557 1.16764481825624 2.32459650769364 2.28390777837446 4.34388977996525 3.96720536951454 1.67563301239073 0.252660127303876 1 2.66747250214886 2.87924535654195 1.7118136542992 1.14547193253883 9.47056849351016 0.437734528590495 0.871460345259787 0.856206681243981 1.62846656393492 1.48725258322949 0.628172553246894 0.0947189247875424 0.374886713619136 1 "HD"
"10" 20 "Hemiptera" "D" NA "APISU" 306.647247 0.740458938104805 0.419596115370123 0.405823613488563 0.39492938312515 0.44246505258866 0.531117032147418 0.474902511029298 0.359239189915594 0.428222068403444 0.467269855292614 0.262419482912944 0.439925435743006 0.736405062918393 0.00241469292598869 0.00136833485209839 0.00132342167574902 0.00128789476177867 0.00144291219607349 0.0017320130454242 0.00154869321565864 0.00117150632666725 0.00139646474114096 0.00152380254466336 0.000855769896779618 0.0014346303123439 0.00240147293061592 1.68314645606753 0.95378916806993 0.922482722107561 0.897718911065325 1.00577283475634 1.20728875621932 1.07950682648576 0.816591087325655 0.973396929596044 1.06215694144492 0.596509002644355 1 1.67393154177287 1.00550495289963 0.569789829672344 0.551087484217277 0.536293682664313 0.600844663988538 0.721229468524547 0.644893055388901 0.48782824562873 0.581503427891151 0.634528303541004 0.356352089532042 0.597395995621716 1 "D"
